R1,R2,R3,G0,G1,G2,B0,B1,B2
118.45108621906209,29.890142219564254,35.358782084036974,114.68283896005211,26.512452698570996,-18.502551223383435,69.92816986335758,23.46145939681579,15.551248852881995
119.25056694053951,30.951183309126456,37.544396380452625,114.49363559419778,26.56743629642735,-18.31815647784778,69.73170312839231,23.594147423205282,15.26286041574987
120.25220330818497,31.89763400315809,39.26959595394207,114.36646154472427,26.51297906523018,-18.075618146135913,69.28489080140035,23.74419046989884,15.366237231085915
121.64766532444095,32.860443476263896,41.069903354462156,114.08380543041685,26.378211160866254,-16.59426890501378,68.6450384009987,23.8513465254027,15.713760891427942
122.7014559813287,33.28921168980325,41.77527815325428,113.84763419995657,26.208714777420468,-15.256290180128826,68.33144904404581,24.001975719612616,15.811806621020787
124.11413992957556,33.72064760923004,42.43323441430891,113.5468130902627,26.140734885436743,-14.258447952343486,67.69198887999349,24.156902524410203,16.051887114175248
126.07371583939427,34.63807404076576,43.67862171929342,113.13993084767152,26.14908467367244,-12.446010220882295,66.72748139315567,24.510891656089505,16.392860935604485
128.26474130210596,35.296685388989886,44.57749021813262,112.64203153834673,26.1267067870466,-9.91802073281994,66.0583834265089,24.88347727480932,16.626388940869795
130.77433603926943,36.162142464423006,45.56888429658684,112.3326991118921,25.958417869218582,7.3942186148483,64.99053756309705,25.389197725305234,16.900658575426473
135.2221995596776,37.73149196555916,47.10801473042263,111.82883908217542,25.932996854717214,13.03356289355304,63.084930406670644,26.264057220641075,17.315447003374143
139.45088988886778,38.812835932241356,47.8322153891428,111.49353764112028,26.222234063637277,14.731586780585411,61.59218147864199,27.11688387549561,17.750624044414014
143.84067953145353,40.05973929635749,48.378444696649495,111.45679251587603,27.040612486919656,17.205815546035197,59.97300905069475,28.033825567061765,18.36556589726964
152.44441396073057,41.69247685058597,47.969096089150305,112.0545878507653,29.76093993946491,24.541362729234788,56.90575387402301,29.514953894496195,19.558472974445102
159.17445443104103,42.558845750323705,46.76804064124152,112.41627683320668,32.090705033945035,29.243017929469328,54.6527643969822,30.485680259153145,20.412860739777617
166.7075261038591,43.241914741936725,44.86305207454231,112.50899472155884,34.64673559346127,33.14545224447453,52.08674571889926,31.63565216773367,21.752609804107706
175.2549180077616,43.363283651183124,41.885426387950446,112.32013567561333,37.5232613884902,36.51576054870281,49.25366581971885,32.71590889798387,23.70555140303321
188.0398418842271,42.43184148486933,35.060159278980215,112.26802675857577,42.37951770973634,41.985019454361804,44.69535744816544,34.043331962237325,27.28088939511776
196.07972532430526,41.20975438825609,28.538083788743315,111.73780844618433,44.96891695144304,44.307542604168376,41.7690741356383,34.814654223547386,29.69368928665601
203.39247805172602,39.951285834210665,18.512859976007523,110.97874587833803,47.36410133332592,46.746152366571124,39.00789009919127,35.47425584099506,31.587593583590582
212.77540673849327,38.573091416765976,-22.91305585000635,110.12614787437582,50.69368590367337,49.50064238331287,35.17602040816327,36.431484454228844,33.958195821017355
217.43137093600737,37.86406908356713,-26.527600208853666,110.43952139532675,52.52172320756476,50.64166212230105,33.78167785565024,37.14683517765983,35.13367627415541
221.9082510414405,36.466696021496276,-27.483101412437787,112.60410249538646,55.60223374498707,52.19742973973129,32.805173449033866,37.93170893975069,36.20852827294684
226.96242545389165,33.22751480411874,-26.03153087435059,120.56312248968736,58.43990535022727,52.35513304037863,32.27788906453539,38.62327736156292,38.69908041981859
229.6616497164025,30.78924867768958,-25.13547530488517,129.26594854198328,57.95318991548679,49.39531747051686,32.075531999701475,39.199659246070894,40.96759591646068
231.85543609897417,28.66382859813051,-24.256445660721084,143.64667688884063,57.162966146296746,43.54766363833583,32.507548747557536,39.9954139727036,42.64225961814968
234.4396655686876,25.995161011101672,-22.937651603046977,167.0744290734911,52.494377955240864,42.9390321942861,33.89437265930308,41.86441915082894,46.104998598476506
235.8572492910063,24.484480427254084,-22.09178577268662,177.9623974672981,51.529544357744264,36.88820901446003,34.9597255956904,43.193272051123856,48.021051315173345
237.1114892599327,23.074749593474756,-21.245495818674236,186.434608900076,52.147913017002985,24.502593819268295,36.1762137700825,45.01887466031953,51.32949700116907
238.31558615800043,21.799819194232985,-20.544705069712663,191.86653744775836,53.14105858852484,-22.237959560503363,37.37843938273448,47.3115466642546,55.45580133629155
240.00178435735995,19.937768177039377,-19.464084947566086,197.56077458410226,54.50011557044278,-34.435587625945494,39.45642911419887,50.2735762902937,60.09800436989105
241.08535190173143,18.702408268324564,-18.64183540885829,200.3150209136181,55.35180905946948,-37.947912326253764,41.46315861783543,52.57538589598733,63.19006763898587
241.90934379070777,17.746340539037547,-18.028296677060197,202.10269383684326,56.028215779676586,-39.781653429184416,43.012584214204296,54.217817805653844,65.24825204347887
243.1261368493541,16.347439807954036,-17.07048856045385,203.9585035144377,56.54781923622833,-40.904873034940316,45.272865895028225,56.00133406844975,66.89890149731862
243.94330721816652,15.402635369073488,-16.40070119456322,204.6508222970039,56.607116359992645,-41.15322771539533,47.304287206904036,58.013063698362146,69.2494517199255
244.71900103126356,14.452537007928163,-15.664291295170017,205.26597525645897,56.50180211255868,-41.18668645838856,49.039756652328485,59.47375777403393,70.81209492057484
245.69762817859856,13.263063143138925,-14.733579920860638,205.88267807954298,56.312265823356974,-41.30290599846559,52.66614410890686,61.8073514480022,72.38094995752245
