cA,cH,cV,cD
221.51844939520646,-0.07373490719650284,-0.08650588879952338,-0.08163333599415262
221.73102969579094,-0.07229828773181016,-0.08041477982147485,-0.08197295479351295
222.0786196621963,-0.07263807212551551,-0.08511670179605409,-0.0802291077301239
222.43813602648927,-0.06854682886393727,-0.08448740676536602,-0.08079603518993718
222.71797843897357,-0.06693008893003119,-0.08372168225628143,-0.08244388116332028
223.06598413548764,-0.06635302140085064,-0.07895593212678564,-0.0857775891793073
223.5406075814218,-0.06360730043792397,-0.07384354310572008,-0.08437933375073516
224.11363949405518,-0.061364298435359586,-0.07236149874595789,-0.08163227919047977
225.0087461538398,-0.055230774526549245,-0.07221769022212701,-0.08107477384396823
226.64580294860428,-0.053986126011563856,-0.06655198333244003,-0.0845343477896554
228.43982174249754,-0.051154233560531094,-0.060117232171980284,-0.08799641670948524
230.65001759779489,-0.046908325783729374,-0.058488371066044785,-0.08622355312620386
235.78994554113785,-0.043852908476671615,-0.05016233874143984,-0.08602468024378279
239.71385373536387,-0.04029049266502117,-0.04799212684726609,-0.08952216318475124
243.73329745550816,-0.03267283872064542,-0.04193180031114569,-0.09278612770850811
247.96671651894647,-0.026479501950614878,-0.034163952866654,-0.09627164449212462
254.5031524679436,-0.014796827044051926,-0.027558155052177166,-0.10488126932352534
258.0154365651595,-0.008684270943738345,-0.019264141591985497,-0.11108285564806542
260.8687555824115,-0.002432845242192857,-0.013057485514351805,-0.1239503458498317
264.60579148271245,0.008879802052700177,-0.00564516856059393,-0.1339772038919999
267.4423692918445,0.01178554439383799,-0.00402504796118767,-0.1406940845030608
272.44707848805643,0.008255226920203513,0.001583467493600539,-0.14529510755530453
284.6887166431849,-0.009280646432026215,-0.007874497742039382,-0.14004871920413045
296.4771283359156,-0.016790889900535188,-0.01671881758887833,-0.1390289494360939
314.7461003207486,-0.016968332702330023,-0.014893482468889191,-0.12790436616451883
344.07099634967494,-0.010007019725438458,-0.011612502171758906,-0.09497914442819712
357.92658214502984,-0.0014802617063159804,-0.007588327168014829,-0.08001893082246202
368.8922096863049,0.003012532982600431,0.0005078900765865725,-0.06901392668324782
376.26085042926644,0.010475801395971634,0.005421655992699852,-0.06468946781300797
384.4441832390326,0.016593559636670717,0.014128785904047491,-0.05766733688029206
388.78387698682013,0.020259519678600926,0.016561958890135394,-0.051640443700760694
391.73555537982367,0.025050787143142125,0.020358276491188786,-0.052358034542120555
395.16345252594965,0.031140002638776795,0.02704126177609132,-0.04659207722623918
396.9323546781818,0.034976343747328116,0.031913051597737364,-0.04793891515754902
398.52071576800535,0.041622297699053595,0.03325544272676788,-0.04578257040834567
400.6641649762951,0.04375672069590897,0.035034910008182034,-0.046947397092155
402.4562928919124,0.04285588739229862,0.03563642954407767,-0.050429717830680044
403.5816770851852,0.04492284989278028,0.03769394839391088,-0.05204075028786288
406.11024130789446,0.048722431196784065,0.043176822461377724,-0.04961895905865306
394.55517359686655,0.03939830010637438,0.034961895756394856,-0.05067434050957214
331.92262067768326,-0.0024793123218313233,-0.005558248876926333,-0.07573433059556248
302.2325729382196,-0.018409845636387135,-0.020402017604869305,-0.09327798335744165
303.83307415649364,-0.016375540308098246,-0.01895705771627254,-0.09113016347786812
309.2078388299169,-0.012136568818393704,-0.017688088327627118,-0.08538658669204868
267.4708782914505,-0.03379207517566004,-0.04102547977800196,-0.12584242165077175
269.67851716635244,-0.03401024513496124,-0.04593921794774139,-0.12353355020651909
273.47671939164076,-0.032690760679489964,-0.03551551102455182,-0.1175959772035971
277.5296487186996,-0.024100616066842103,-0.03388629112958942,-0.11237435063554836
281.36811966198263,-0.025219872270432445,-0.029960091681858498,-0.11098771351482029
285.69638980216376,-0.020073880162576246,-0.029977716459840133,-0.10593985579279078
288.89539818594295,-0.018591899189263697,-0.02917504383854041,-0.10351310817171523
292.8453549902483,-0.017777935067684485,-0.01991685856798877,-0.09868977934173219
296.619229140616,-0.016888146376179074,-0.02440832284094647,-0.09369316005365733
296.5353884139318,-0.01645279979653849,-0.029236037783210565,-0.09773226407541744
294.8633162563063,-0.01670383027475443,-0.020725680362956113,-0.10204687700366022
289.29018036812204,-0.019878361795208476,-0.028713829174566958,-0.10479886154190522
288.0690866651601,-0.025133967191967563,-0.032258741257026734,-0.10892573119140513
288.96674789969296,-0.02665445251103891,-0.035104672450263934,-0.11008349413464603
279.73588435774036,-0.030827270854830394,-0.03843621655292113,-0.12185864975071148
271.32027453981595,-0.039311247933359536,-0.04225603584680593,-0.12968788634596876
264.8577863048431,-0.041219483276009106,-0.04822569992780818,-0.13309508754668978
264.5081865775634,-0.04781173752209446,-0.045075241381063044,-0.1325033551507958
259.414382940377,-0.05551231702345309,-0.05427683592864166,-0.1372130253438505
253.9779251957646,-0.057568758066800695,-0.060507590050876914,-0.13393078905315242
247.1207298272587,-0.06410782530275086,-0.06675446978806548,-0.14518318517738968
238.83659393085273,-0.06784176544431922,-0.0815779282370088,-0.15238853634395247
238.41788277133244,-0.06906350251612309,-0.07363188584447115,-0.15239806596930616
244.052591371178,-0.06541921454549354,-0.07026952943072491,-0.14631631672988726
