均值,标准差,对比度,相异性,同质性/逆差距,角二阶矩,能量(ASM),能量(Energy),熵(Entropy)
1.2862228,53.463795,1.7357056,1.5159981,24.258657,547.4373,23.141024,22.805904,8.249048
1.3208435,54.789215,1.6452665,1.4332553,24.299425,551.79236,23.246864,22.93176,8.239087
1.3265848,55.088852,1.64261,1.4251922,24.303894,552.13947,23.25415,22.939188,8.238293
1.352625,56.52551,1.3859982,1.1695347,24.43164,564.78754,23.563944,23.312073,8.20923
1.349944,56.6861,1.403668,1.1861231,24.423412,564.1196,23.548635,23.295067,8.21078
1.359204,57.336754,1.4138852,1.1908278,24.421515,563.96155,23.545202,23.291616,8.211154
1.3767374,58.281326,1.378885,1.1581174,24.43768,565.4324,23.576935,23.324211,8.207696
1.3454307,57.059093,1.4374648,1.2174393,24.407951,562.2591,23.503036,23.241154,8.215027
1.3538888,57.364346,1.4315609,1.2163271,24.408136,562.1775,23.501589,23.239847,8.215241
1.3721135,58.284435,1.4278247,1.2070147,24.413233,562.76984,23.514744,23.253542,8.213882
1.3898413,59.12757,1.4319197,1.2112156,24.411116,562.6775,23.51293,23.2516,8.214047
1.4015899,60.036438,1.4466677,1.2283596,24.402357,561.7826,23.482859,23.204895,8.216099
1.4286422,60.895798,1.5395056,1.3175931,24.358013,557.47217,23.375288,23.072962,8.225883
1.4441584,62.163567,1.4101859,1.1875738,24.423096,563.87286,23.53556,23.272121,8.211332
1.4636886,62.91403,1.4075776,1.1867677,24.423351,563.964,23.536436,23.270565,8.2111225
1.4681687,63.48894,1.33043,1.1160231,24.458239,567.5861,23.621212,23.367222,8.202771
1.3046148,57.531567,1.8829995,1.6640553,24.184557,538.9646,22.937805,22.56619,8.268563
1.0051063,54.18822,2.6271873,2.3977938,23.818132,501.73273,22.040285,21.501211,8.35403
1.030437,54.915173,2.5431082,2.3150473,23.859434,506.0558,22.14305,21.622818,8.344111
1.0508336,55.170197,2.653786,2.424278,23.80495,500.29642,21.999153,21.443796,8.357283
1.0812985,56.094017,2.7155664,2.4852426,23.774588,497.27838,21.920788,21.341448,8.364234
1.106736,56.473644,2.7669725,2.5401573,23.746866,494.50775,21.856306,21.27007,8.370679
1.1376286,57.01177,2.8380828,2.608541,23.71298,491.0774,21.775269,21.179455,8.378551
1.1687785,57.679176,2.6676307,2.4413269,23.796368,499.20453,21.97493,21.421509,8.359904
1.0902148,57.118233,2.6601617,2.4308286,23.80168,500.08798,21.992762,21.434666,8.357812
1.0402827,56.764008,2.355417,2.1231825,23.955633,515.72534,22.386774,21.926386,8.321917
1.063425,57.046974,2.5726573,2.3406816,23.846905,505.20795,22.127993,21.615211,8.346132
1.0818921,57.503613,2.6230881,2.3920367,23.821178,502.27454,22.054214,21.523169,8.352838
1.0872507,58.035213,2.57103,2.3386395,23.84796,504.88434,22.116476,21.593792,8.346859
1.0985477,58.4007,2.616674,2.3875902,23.823238,502.25433,22.048958,21.508413,8.352861
1.1019433,58.41507,2.5432606,2.3137653,23.860239,505.68823,22.1317,21.60434,8.344949
1.1189135,58.99023,2.6739523,2.44274,23.795874,499.67596,21.980398,21.417099,8.358802
1.136503,59.256767,2.7224638,2.4879038,23.773552,497.21152,21.915354,21.330584,8.364418
1.1568575,60.491253,2.500987,2.2720432,23.881077,507.98383,22.186852,21.668203,8.339718
1.1087946,59.02133,2.6568959,2.4285862,23.802698,500.125,21.99426,21.439554,8.35774
1.0023807,57.355812,1.9818448,1.7577943,24.13767,534.361,22.834301,22.451237,8.279089
1.0049195,57.93911,1.9988903,1.773678,24.129827,533.10565,22.804604,22.419249,8.282145
1.0043333,58.054195,2.0698326,1.8412745,24.096289,530.35974,22.727245,22.31983,8.289036
1.0191423,58.57539,2.1500247,1.9186213,24.057856,526.58795,22.638702,22.21902,8.297776
1.0416812,58.908195,2.2517102,2.0242462,24.004753,521.5357,22.518997,22.080105,8.309427
1.0525985,59.263973,2.1954105,1.9670093,24.033422,524.3414,22.588074,22.16363,8.302998
1.1015048,60.209682,2.4913483,2.2579987,23.888344,509.0769,22.215265,21.71935,8.337984
0.9880235,58.2733,1.978014,1.7417597,24.146637,535.497,22.845215,22.45126,8.27713
0.79010886,48.00603,1.5511905,1.3192613,24.357546,556.8564,23.365294,23.06937,8.227736
0.71323395,43.546974,1.4878556,1.2539122,24.390375,560.192,23.45491,23.188639,8.219895
0.75569063,42.334404,1.5958787,1.3704585,24.331442,553.9452,23.306103,23.013334,8.234287
0.75037843,42.108162,1.5710511,1.3375742,24.34851,555.8826,23.350777,23.064606,8.229873
0.7562397,42.332615,1.5997142,1.3649439,24.334908,554.4293,23.315327,23.021397,8.233194
0.9048519,50.95396,1.6625623,1.4281101,24.303312,551.4058,23.234716,22.916073,8.240299
1.062525,57.96828,1.8810418,1.6468228,24.193932,540.34125,22.97601,22.62274,8.266006
1.1019716,58.770535,2.0490553,1.8121353,24.111498,531.8094,22.766521,22.369736,8.285606
1.0994589,58.749252,2.0702176,1.8351403,24.099867,530.65735,22.737492,22.334686,8.288269
1.1030221,58.899307,2.0641072,1.8256648,24.104855,531.2767,22.753721,22.35666,8.286872
1.115412,59.313663,2.104173,1.867855,24.08359,529.11926,22.700712,22.292551,8.2918415
1.1215215,59.493732,2.1654203,1.9274104,24.053955,526.077,22.628773,22.209131,8.298796
1.1298726,60.33364,2.0762398,1.8424872,24.096066,530.1802,22.7271,22.323523,8.289368
1.127397,59.786263,2.1648178,1.9300729,24.052366,525.6933,22.619932,22.19747,8.299612
1.130196,60.381832,2.0477812,1.8119339,24.11155,531.68524,22.764296,22.369064,8.285903
1.1240782,59.86663,2.1812267,1.9460224,24.044441,525.001,22.601204,22.173819,8.30125
1.1230251,59.863045,2.1314225,1.8971696,24.068789,527.1888,22.654089,22.236519,8.296197
1.111761,59.450924,2.1174238,1.8813941,24.076809,528.00476,22.674643,22.262352,8.294339
1.1124232,59.44109,2.0979078,1.8660549,24.084162,528.8012,22.69439,22.285896,8.292553
1.1050141,59.24259,2.0773156,1.841604,24.096678,529.99225,22.723047,22.319538,8.28978
1.1133585,59.668858,2.1075304,1.8698258,24.082703,528.96246,22.6972,22.287066,8.292145
1.1186553,60.14783,2.0670767,1.8294272,24.102915,530.73694,22.740757,22.340818,8.288022
1.120944,60.298615,2.057468,1.8222737,24.1063,530.8073,22.740784,22.337124,8.2878895
1.1264164,60.26351,2.1240778,1.8900411,24.072325,527.72107,22.66883,22.256353,8.294987
1.1235049,60.400658,2.0989516,1.860399,24.087505,529.40594,22.708822,22.302387,8.291212
1.1219227,60.45125,2.0239794,1.7938482,24.120153,532.32635,22.780195,22.388979,8.28441
1.1232791,60.61639,2.021113,1.7818097,24.126848,533.14636,22.801329,22.415327,8.282517
1.1257671,60.676193,2.0280917,1.7894162,24.123001,532.72186,22.790688,22.403133,8.283513
1.1184663,60.554794,2.0014062,1.7730473,24.130405,533.43695,22.806002,22.417944,8.281844
1.1190817,60.415455,2.0220258,1.7848599,24.12517,533.0838,22.800434,22.414316,8.282678
1.1283078,60.8384,1.9869354,1.7496209,24.142792,534.5441,22.837303,22.45977,8.279307
1.1296175,61.011505,2.0342288,1.7979194,24.118586,532.36487,22.781818,22.389893,8.284333
