cA,cH,cV,cD,mean
205.471643,-0.12283592,-0.131903927,-0.225299561,51.2479009
209.8290327,-0.120750509,-0.124366896,-0.219046039,52.3412173
213.2870291,-0.118420484,-0.122962026,-0.21367965,53.20799174
217.3607786,-0.119076846,-0.127681888,-0.207100511,54.22672983
221.1145392,-0.115136528,-0.116107874,-0.200192496,55.17077557
211.5707911,-0.123221809,-0.129371205,-0.222760452,52.77385941
204.6395021,-0.123830808,-0.133578345,-0.234808884,51.03682102
208.0785924,-0.122881523,-0.134259647,-0.229503183,51.89798701
210.6824362,-0.120837428,-0.139088648,-0.227824351,52.54867145
211.725715,-0.121930311,-0.132810102,-0.224543707,52.81160771
212.9863302,-0.119270507,-0.129470907,-0.220828124,53.12919017
213.6669855,-0.120277188,-0.128777113,-0.223302626,53.29865714
215.904095,-0.120027374,-0.127370476,-0.217651206,53.85976149
217.832477,-0.121254632,-0.125436728,-0.217855536,54.34198254
220.6810826,-0.117895931,-0.132566513,-0.210491691,55.05503212
214.7619091,-0.121257334,-0.135589817,-0.220436431,53.57115637
199.1569794,-0.12460289,-0.139933759,-0.237314562,49.66378206
199.2703696,-0.124949076,-0.139126939,-0.234129136,49.69304111
199.4511545,-0.117377856,-0.145125759,-0.232362728,49.73907203
202.0025724,-0.119217511,-0.135876705,-0.225903514,50.38039368
205.2019067,-0.116802536,-0.137282498,-0.223612752,51.18105223
206.9429191,-0.117391778,-0.130419274,-0.220194128,51.61872849
213.4857556,-0.115043241,-0.132723481,-0.211226782,53.25669052
197.0770288,-0.120743363,-0.138266431,-0.224415341,49.14840093
161.2044545,-0.129625897,-0.155609377,-0.186138585,40.18327016
145.661564,-0.131746379,-0.152303088,-0.156168337,36.30533654
151.7778716,-0.12166961,-0.140914334,-0.170655941,37.83615793
151.2794404,-0.122238769,-0.136253183,-0.170924637,37.71250596
152.0480873,-0.120957318,-0.137022452,-0.171444927,37.90466564
181.0996089,-0.121785997,-0.135266535,-0.207190603,45.15884143
208.7977308,-0.117388743,-0.129281366,-0.229693385,52.08034182
215.0426108,-0.115515383,-0.129863257,-0.229694503,53.64188441
214.7921208,-0.113973127,-0.124676818,-0.226549532,53.58173032
