原始LBP特征,旋转不变LBP特征,等价模式LBP特征,旋转不变等价模式LBP特征
109.49715596843791,13.427528291901867,39.7705201096396,5.951480151568606
109.56816982943444,13.44293533570343,39.7961333552703,5.955433469930526
109.54756533597481,13.429442405286583,39.77037932859314,5.950608750814156
109.54091936807968,13.432142263487842,39.78205949101715,5.952565692167824
109.59844962752388,13.435206371444854,39.76990610073817,5.949686465344116
109.58008194135367,13.427429490745766,39.745865616858445,5.946843705899913
109.60932114700934,13.435746597508684,39.74566377415328,5.94614319298198
109.60156546827507,13.432514994029527,39.6991068036257,5.939641398447677
109.64170842040274,13.43990303069366,39.69997353994789,5.9398610508033
109.65555923998589,13.44299088485128,39.64471952344768,5.930885835052106
109.54612487448436,13.42810159303083,39.615164408516065,5.926126842026704
109.74146960147091,13.457486668204515,39.619540918095964,5.927140295945506
109.73895716863873,13.44719014600521,39.57295044846396,5.919508860725141
109.68054193918259,13.441805270978072,39.50754493120387,5.908935864904472
109.61999464014329,13.436934331578376,39.430426600493924,5.8981898610508035
109.53578425219823,13.434157722264437,39.35270231762918,5.886600867075553
109.0086283516066,13.381831273067737,39.09682470893943,5.8497251377279635
108.48972086341185,13.336800419968519,38.87846779336735,5.817489246363439
108.2197638779581,13.318367855785931,38.72704208844442,5.796443327996092
108.12191935451042,13.301852797302432,38.60554041264112,5.777169893888407
107.92748673605081,13.288851752469604,38.49682733798306,5.7601845758250105
106.63681543095962,13.142943222834347,38.009420457012595,5.688056763596396
104.45970905815784,12.831438867102692,37.22964229741098,5.569870651052974
103.32295172058186,12.679609900808728,36.90644039364416,5.521910534493053
101.84283746743378,12.444472054114199,36.529259135502606,5.464280201774859
97.18875600439644,11.782129881540381,35.079144390468954,5.244936970798958
93.44169247652519,11.280125447785498,33.818293648909034,5.053903451340642
89.16404723458533,10.73160729551129,32.35271885516175,4.832867455492836
84.74888011221776,10.154315532729049,30.80194566190838,4.5983733004505
78.94620722291576,9.409354815729483,28.787393905368,4.295909462521711
76.25663918326639,9.062378300721884,27.895994609612462,4.161353312934216
74.16436526405775,8.781751214448546,27.17558873615936,4.050000593655016
69.9740916230189,8.25983601552323,25.685059653848242,3.8255464170375597
67.96720013637103,8.010234612462007,24.920588040734913,3.709191306176726
66.60421910619301,7.851542146113765,24.446149553571427,3.638704526025836
66.54423238710378,7.8426517382218845,24.454595568280503,3.6405859883847156
66.6017232108934,7.854456992238385,24.495486525727312,3.647610623371689
67.51303920836952,7.935308988954624,24.85792393752714,3.6983541338742945
68.21370096409575,8.006121007245984,25.17585800111268,3.744172427947243
66.65592391378094,7.878323195967217,24.44337760868975,3.641975989198871
85.71679433076422,10.292484497123317,31.03009067656318,4.634623995874946
96.23196730487408,11.669136130183457,34.54863815539514,5.166486308619192
94.73609066299392,11.466049717759445,34.00446004532132,5.083463230704516
92.28628461856817,11.150580594604863,33.21106937622123,4.96359410619301
101.14316923577942,12.327314660904255,36.09936894471885,5.402416260719713
100.48165987638406,12.23685223757056,35.84445644946808,5.363746845147634
99.30735937160769,12.098099795104211,35.49102690444529,5.3115666895082505
98.70336415816327,12.010988554331307,35.28558580180742,5.278155361213634
97.59464217867998,11.854955238411854,34.911745549283545,5.222208040463526
95.97944554317738,11.642192673279418,34.36382826069258,5.139389773529093
95.13641810613873,11.534847549392097,34.057297461870384,5.092214129667824
93.05237224544074,11.284143220120495,33.360078057153714,4.989392656996309
90.98134184691163,11.019316686115936,32.636349411772684,4.880385723105731
90.70436997937473,10.980541260719713,32.52465915721342,4.862318680796787
91.08269232726335,11.0277639729429,32.59246685708858,4.873546817330656
92.79916057180851,11.264535643047113,33.224173886642426,4.970040775618759
92.82748936509444,11.265404075526487,33.23787417227529,4.972133833586626
92.1299930627171,11.175738422031046,33.011752673143725,4.936958501818281
94.8368267104049,11.500881153658272,33.97098256689644,5.08108182601498
97.2674297112462,11.804060345880373,34.83508942140686,5.210097478153496
97.46355594265631,11.843259810573166,34.95534569379613,5.2295354395082505
96.88803793625164,11.759208013325011,34.72337966103995,5.19308120522145
97.66678525632328,11.870203267477203,35.041651683944856,5.241957670701259
98.57105880916197,11.984625607224272,35.32539715520517,5.283339665653496
100.19585951069257,12.190076886805254,35.92252208396656,5.373599822242727
101.62505512510856,12.392737987814806,36.41830501316218,5.450128314291142
101.89040322744789,12.41729876791142,36.472274614633086,5.456795484151107
100.37314101172385,12.22242769281915,35.97800804996201,5.382078063938342
100.14702460106383,12.188467233635475,35.88698589475684,5.367198949061008
99.36873651555037,12.092212857549935,35.597617238384714,5.325091846911637
99.04591667118976,12.052510482251412,35.47288735141663,5.306015591076856
98.35381966117563,11.965418323246851,35.23489656833478,5.270163492591186
97.19423586422602,11.801561906344984,34.82209855351715,5.207662644512593
98.76415655191597,12.030469343655016,35.38704144390469,5.293616258005862
98.50609598892748,11.970723054846939,35.3040192140686,5.2795839496037775
97.41522563979049,11.843992550477639,34.92700205913482,5.223700234748154
96.24017924989144,11.691150130264871,34.52848780802214,5.164056563449848
94.77197456442684,11.505238157430526,34.009301301970254,5.085943860589449
93.58523953131785,11.345070458369518,33.61498928028658,5.0266674073219715
92.61392918204515,11.221426112000652,33.29013701557751,4.978052574088146
90.71848539947894,10.973097250868433,32.611457456985455,4.875039435654581
89.77141398447677,10.836511649207555,32.32195480419561,4.829892395788103
99.86966855392423,12.17659074101715,35.80759089706361,5.358336951801998
106.10080304561984,12.978409615175858,38.04807206293422,5.696905191597915
105.8257766703756,12.957748724489797,37.974656867401215,5.687009386533869
105.59803576517044,12.912434189101173,37.858197442873426,5.668616682045158
104.53592036881241,12.783091178625705,37.52875495277898,5.6192563877279635
104.02378097183022,12.714835269214069,37.34263223241424,5.591036572541251
103.59555301508901,12.66148773339123,37.17744093980677,5.565896554765523
103.22334107346396,12.59472529038211,37.04780619029527,5.5445364232794185
104.21995299948436,12.732367173930742,37.44325845364742,5.606611959943552
104.598113788401,12.781520961110507,37.59241088390143,5.628914306746635
104.36742750624185,12.747141127062527,37.566485121309164,5.624936818144811
104.1889943144811,12.718356067493486,37.469990738981764,5.610440186712983
103.52710035144376,12.64307764329136,37.29247686441598,5.583781684216239
103.37889268074251,12.601551899017586,37.18239075051563,5.565943623127443
102.78923041956145,12.529752293204515,36.97627457731763,5.534959495766391
102.72837823626791,12.524754566055146,36.953556672003906,5.532083661257056
102.21322985643725,12.458897022904907,36.82172709509336,5.512793689616804
101.84806247964612,12.412611437527138,36.640188239524534,5.485054734992401
102.53422972413699,12.494134264410551,36.954596840398395,5.5322765991369955
104.22155756418259,12.700898369653713,37.61346316285823,5.631622645733826
103.76479006662505,12.66336283516066,37.494975558374946,5.616947917797438
103.5919325675749,12.686052753880807,37.55178155870061,5.631204967026704
103.07600692371363,12.619296671461138,37.325921267775726,5.597625719170647
102.85257213756513,12.588384206741207,37.28140816665762,5.591636588145897
102.26579164744355,12.5262064766066,37.08142020937364,5.561797790924881
100.76938750067846,12.334122187771385,36.469846141581634,5.469680342216674
103.22482266676617,12.605609531046461,37.50125685247503,5.621926987217759
104.63009737638406,12.67353511384607,38.2290596674175,5.720662841266826
105.7973808788808,12.788527786447025,38.701792668530175,5.787178069366044
106.59066977854972,12.926421973377117,38.88958864795919,5.818050250352801
106.63287737801238,12.92817325567195,38.908097115175856,5.820095391880156
106.63678702032675,12.933039530639384,38.899922485616585,5.819940193497612
104.25012169927811,12.667071906887756,38.034420965859745,5.695096663998046
102.67605857169995,12.532420348458531,37.29173776392206,5.587794368079678
101.81277392938559,12.453433700607903,36.925010346558835,5.53437008114416
102.02158826462765,12.477875749701477,37.035800365691486,5.551222250868433
